Student_ID,Name,Grade,GPA,Attendance,Math_Score,Science_Score,English_Score,History_Score,Graduation_Status,GPA_Category,Elective_Art,Elective_Computer Science,Elective_Drama,Elective_Music,Total_Score,Math_Score_Zscore,Total_Score_Percentage,Name_Initial,High_Achiever
933121,Craig Cox,F,0.9758470160546158,-0.673700340824728,0.499075731417659,56,7,82,Pending,Low,0,0,1,0,209,0.499075731417659,52.25,C,False
245620,Kevin Green,D,1.4017381732831473,-0.7480966345258777,-0.8365417478445863,57,46,11,Pending,Low,0,1,0,0,139,-0.8365417478445863,34.75,K,False
812741,Chad Wright,A,1.4712714234429076,-0.43255373365548594,-1.5899669925566222,48,57,58,Graduated,Low,1,0,0,0,166,-1.5899669925566222,41.5,C,False
735670,David Padilla,B,1.0888385475642262,-1.3278746475072483,1.2182543740973295,37,76,42,Pending,Low,0,1,0,0,240,1.2182543740973295,60.0,D,False
841667,Valerie Odonnell,B,0.05453145143779183,1.7146772259259615,1.0812679659678686,12,24,32,Graduated,Low,0,0,1,0,149,1.0812679659678686,37.25,V,False
812350,Kristina Murphy,D,0.17621463921737246,0.9467706541600751,-0.3570893193914726,76,36,92,Graduated,Low,0,0,1,0,243,-0.3570893193914726,60.75000000000001,K,False
392121,Amanda Vincent,C,1.2626716729636271,0.5183506180189746,-1.2817475742653348,10,77,57,Pending,Low,0,1,0,0,156,-1.2817475742653348,39.0,A,False
524317,Michael Bradford,B,-0.5799594562700209,-0.4667589261617608,-1.3159941762977,16,66,41,Graduated,Low,0,1,0,0,134,-1.3159941762977,33.5,M,False
886914,Thomas Hernandez,C,1.5321130173326978,-1.2440719258668729,-0.28859611532674206,11,34,8,Pending,Low,0,0,0,1,94,-0.28859611532674206,23.5,T,False
419313,Mrs. Monica Ball,B,0.541264202556114,0.9621629907878997,-0.11736310516491574,99,15,52,Pending,Low,1,0,0,0,212,-0.11736310516491574,53.0,M,False
220682,Meghan Atkinson,A,1.4104298295531177,1.0810260347472074,-1.452980584427161,14,3,46,Pending,Low,0,1,0,0,70,-1.452980584427161,17.5,M,False
819385,Jeff Whitehead,C,0.25443954564710264,-0.5685193738679315,-0.04886990110018522,66,71,76,Pending,Low,0,0,0,1,261,-0.04886990110018522,65.25,J,False
759377,Jason Payne,D,0.03714813889785174,0.396067054809039,-0.6995553397151253,99,45,71,Graduated,Low,0,0,0,1,244,-0.6995553397151253,61.0,J,False
999781,Jeremiah Perry,B,-1.4665083958069647,-0.74211072583728,-0.4255825234562031,93,37,72,Pending,Low,0,0,0,1,239,-0.4255825234562031,59.75,J,False
656017,Ryan Ford,F,0.5325725462861437,-1.4604197684690658,1.2182543740973295,23,78,80,Pending,Low,0,1,0,0,266,1.2182543740973295,66.5,R,False
363378,Tyler Evans,D,-1.4404334269970545,-0.7498068941511912,1.389487384259156,13,27,49,Pending,Low,0,0,0,1,179,1.389487384259156,44.75,T,False
