Transaction_ID,Account_Number,Transaction_Type,Transaction_Amount,Date,Account_Balance,Fraud_Flag,Transaction_Year,Category_Entertainment,Category_Groceries,Category_Health,Category_Travel,Category_Utilities,Net_Balance,Transaction_Amount_Zscore,Transaction_Amount_Category,Total_Expenditure,Transaction_Month,High_Value_Transaction
8878612,1600350,Transfer,-0.5537550148046658,2023-04-30,1.4240396873385832,No Fraud,2023,0,0,0,0,1,1.0367217225929175,-0.5537550148046658,Low,0.35033766701876823,4,False
2733712,6056870,Deposit,-0.8976319704417977,2023-06-22,0.8879765556023659,No Fraud,2023,0,1,0,0,0,0.6071779590572168,-0.8976319704417977,Low,0.2514175006132574,6,False
5836221,3737324,Transfer,1.5115916022791895,2022-09-19,0.3282279114357681,No Fraud,2022,0,0,1,0,0,-0.6376766242969096,1.5115916022791895,Low,0.9444584061315726,9,False
9755716,1106801,Deposit,1.4930469311356986,2023-03-28,1.3936036554038327,No Fraud,2023,0,0,0,1,0,0.41793099929487343,1.4930469311356986,Low,0.9391238179151253,3,False
9204424,5001180,Withdrawal,-1.2157663608054197,2023-07-25,-0.3989313377245609,True,2023,0,1,0,0,0,-0.5699717769274639,-1.2157663608054197,Low,0.1599024795622594,7,False
1446735,5892157,Transfer,-0.352213979164142,2022-12-19,0.7274438709772181,No Fraud,2022,0,0,0,1,0,0.2920252107653955,-0.352213979164142,Low,0.4083132668846025,12,False
8522573,2113624,Transfer,-0.10298515460902119,2023-02-10,0.6151135967982707,True,2023,0,1,0,0,0,0.1095937829189424,-0.10298515460902119,Low,0.4800068084083844,2,False
7209487,7921401,Withdrawal,1.3254626919808916,2022-06-25,0.7361116181211017,True,2022,0,1,0,0,0,-0.18203293032591228,1.3254626919808916,Low,0.8909162816077858,6,False
8504784,3154078,Withdrawal,-0.8413958120961922,2023-03-14,0.919582672981076,True,2023,0,0,0,0,1,0.6221590512667274,-0.8413958120961922,Low,0.2675944791817895,3,False
8312246,3559999,Transfer,0.35223988183731225,2023-01-05,1.1715263408292695,True,2023,0,0,0,1,0,0.5271681260136943,0.35223988183731225,Low,0.6109575325527027,1,False
4679540,7991693,Transfer,-1.4196080773066506,2022-05-20,-0.16221397207881294,No Fraud,2022,0,0,1,0,0,-0.27797268657002583,-1.4196080773066506,Low,0.10126506235200472,5,False
6768908,9777147,Transfer,-0.9453127981435028,2022-12-20,0.9585690637295394,True,2022,0,1,0,0,0,0.6904856908141278,-0.9453127981435028,Low,0.23770156142836404,12,False
1800130,9888915,Payment,-0.600158459940744,2022-07-21,1.2096257591653596,No Fraud,2022,0,1,0,0,0,0.8386957999813426,-0.600158459940744,Low,0.33698918163932456,7,False
1417867,3450256,Deposit,-0.7793853276569206,2023-02-27,-0.022735574989261997,True,2023,0,0,0,0,1,-0.3246389744471362,-0.7793853276569206,Low,0.2854325091487988,2,False
5617284,2735023,Payment,-0.787335032779243,2022-06-29,0.9659338004085347,True,2022,0,1,0,0,0,0.6523019018940716,-0.787335032779243,Low,0.2831456849208773,6,False
8197108,9782910,Payment,-1.1457017530504503,2022-03-01,0.44502619261686643,No Fraud,2022,0,0,0,0,1,0.24186696608226746,-1.1457017530504503,Low,0.18005737085300347,3,False
3846187,3196164,Withdrawal,0.3596814184185404,2023-03-03,1.6426067455812654,No Fraud,2023,0,1,0,0,0,0.9894298768785525,0.3596814184185404,Low,0.6130981762476659,3,False
9948924,6444229,Deposit,-0.6642364246088505,2023-02-09,0.9348952901321761,True,2023,0,1,0,0,0,0.5862926595966396,-0.6642364246088505,Low,0.31855641717521144,2,False
3235225,7411241,Payment,0.39810731358072926,2023-12-21,-1.0315650150545952,No Fraud,2023,0,1,0,0,0,-1.6578866216060613,0.39810731358072926,Low,0.6241518275069712,12,False
8871623,5937606,Deposit,1.5681236121726925,2022-05-14,1.5216259872481657,No Fraud,2022,0,0,0,1,0,0.5225418216372902,1.5681236121726925,Low,0.9607204898049092,5,False
7298790,7009441,Deposit,1.0152640843138085,2023-11-16,-1.0010954929197668,No Fraud,2023,0,0,1,0,0,-1.8053812860911806,1.0152640843138085,Low,0.8016840798386008,11,False
7124559,7514039,Transfer,0.8777314012124741,2023-10-29,-0.42903730129565604,No Fraud,2023,0,0,1,0,0,-1.201869700140742,0.8777314012124741,Low,0.7621212197063374,10,False
4305591,2106875,Withdrawal,-1.687948911855936,2023-10-27,-0.09779022070207792,No Fraud,2023,0,0,0,0,1,-0.13727087149416897,-1.687948911855936,Low,0.024073731057856457,10,False
4194666,2022829,Payment,-0.8800897139547116,2022-07-15,-1.0964831784572229,No Fraud,2022,0,1,0,0,0,-1.3541964138586036,-0.8800897139547116,Low,0.2564637327098967,7,False
6305458,9830801,Transfer,0.43085285902329007,2023-05-01,-0.3844304263506073,True,2023,0,0,1,0,0,-1.0293454108761062,0.43085285902329007,Low,0.6335714607540313,5,False
2120096,8536070,Withdrawal,0.7240347817766104,2023-10-25,-0.5885542316050376,No Fraud,2023,0,1,0,0,0,-1.3149127245592112,0.7240347817766104,Low,0.7179086171421707,10,False
7339396,9538155,Transfer,-1.6947569780640197,2022-11-27,-1.2594447657375074,True,2022,0,0,0,1,0,-1.2804994462432342,-1.6947569780640197,Low,0.022115312410827374,11,False
3905378,9852977,Transfer,1.2552484181487507,2022-07-10,-1.6891799648242105,True,2022,0,0,1,0,0,-2.5527457672597476,1.2552484181487507,Low,0.8707183371463759,7,False
5814334,6235987,Withdrawal,-1.2906481278814461,2022-04-10,-1.539342392856943,True,2022,0,0,1,0,0,-1.6726758243335185,-1.2906481278814461,Low,0.13836187691799373,4,False
2408156,9306864,Transfer,1.347877797492168,2022-07-08,-1.0366234163055426,True,2022,0,0,0,0,1,-1.9360857325714487,1.347877797492168,Low,0.8973642448423804,7,False
3718716,7126614,Deposit,-1.3752268645156118,2023-09-16,-1.4426565304917238,No Fraud,2023,0,0,0,0,1,-1.553030527884924,-1.3752268645156118,Low,0.11403182930919686,9,False
1277558,5963565,Transfer,1.356123354162388,2022-09-17,1.3799341296153194,True,2022,0,1,0,0,0,0.44384289570036906,1.356123354162388,Low,0.8997361741751064,9,False
4142093,7151179,Deposit,0.9710151345677118,2022-03-12,1.660425603581498,No Fraud,2022,0,0,0,0,1,0.8311389520953018,0.9710151345677118,Low,0.7889553598694389,3,False
4587668,4934183,Deposit,-1.6813148759701453,2022-11-26,0.9701390647069813,No Fraud,2022,0,1,0,0,0,0.9136111496369266,-1.6813148759701453,Low,0.025982087878529986,11,False
3892058,5988139,Payment,1.0949525688915545,2023-11-04,0.3392496398593568,True,2023,0,1,0,0,0,-0.5069601232911336,1.0949525688915545,Low,0.8246073901268067,11,False
6047111,1322813,Transfer,-0.9765790858465774,2023-01-12,-0.6991509563552082,True,2023,0,0,0,1,0,-0.9347404727186626,-0.9765790858465774,Low,0.22870745370532608,1,False
5232115,6514647,Withdrawal,0.8190553377483273,2023-11-24,1.0908960946931683,True,2023,0,0,0,1,0,0.31339604808113797,0.8190553377483273,Low,0.7452423743323005,11,False
2232217,6432107,Payment,0.075023500851108,2023-08-12,-0.0003924326403565252,No Fraud,2023,0,0,1,0,0,-0.5483931062343806,0.075023500851108,Low,0.5312130481144214,8,False
6504630,2211215,Deposit,-1.2509587725794136,2022-03-05,-0.10145446290235831,True,2022,0,1,0,0,0,-0.2665884155751275,-1.2509587725794136,Low,0.14977897703664025,3,False
7238541,8703296,Withdrawal,0.5384871327547692,2022-04-19,0.38732568522072675,True,2022,0,0,0,1,0,-0.29949191032519495,0.5384871327547692,Low,0.6645336991184113,4,False
8456681,7740734,Payment,-1.6092767643603787,2022-11-14,0.32625440644973214,True,2022,1,0,0,0,0,0.25813157286780936,-1.6092767643603787,Low,0.04670468028014598,11,False
2696336,6027122,Withdrawal,0.12486230454924027,2023-01-07,0.3136986887586559,True,2023,0,1,0,0,0,-0.2530912293182552,0.12486230454924027,Low,0.5455497539461235,1,False
3683865,9748941,Payment,0.8851903408259318,2023-02-15,0.035008435140999404,True,2023,0,0,0,1,0,-0.7465479006984899,0.8851903408259318,Low,0.7642668695839363,2,False
6016290,7371622,Transfer,-0.14064183574667702,2022-10-28,-0.21246273732771356,No Fraud,2022,0,1,0,0,0,-0.6954184961257305,-0.14064183574667702,Low,0.4691744304215707,10,False
